JWF Variation,JWF File,Status,Classification,Practical Params,Notes
cutPattern,CutPatternFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutRGrid,CutRGridFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION,,
cutRandomTile,CutRandomTileFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutSWarp,CutSWarpFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutShapes,CutShapesFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION,,
cutSinCos,CutSinCosFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutSnowflake,CutSnowflakeFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutSpiral,CutSpiralFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutSpiralCB,CutSpiralCBFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutSpots,CutSpotsFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutSqCir,CutSqCirFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutSqSplits,CutSqSplitsFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutTileIllusion,CutTileIllusionFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION,,
cutTriScaleTruchet,CutTriScaleTruchetFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutTrianTess,CutTrianTessFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutTriskel,CutTriskelFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutTruchet,CutTruchetFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutTruchetWeaving,CutTruchetWeavingFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION,,
cutVasarely,CutVasarelyFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION,,
cutWeb,CutWebFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutWood,CutWoodFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutX,CutXFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION,,
cutYuebing,CutYuebingFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION,,
cutZ,CutZFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutZigZag,CutZigZagFunc.java,NOT_VIABLE,BASE_SHAPE; init(),,
cylinder,CylinderFunc.java,EXISTS,,,
cylinder2,Cylinder2Func.java,VIABLE,VIABLE,0,
cylinder3D,Cylinder3DFunc.java,NOT_VIABLE,3D,,
cylinderApo,CylinderApoFunc.java,NOT_VIABLE,3D,,
dCBubble,DCBubbleFunc.java,NOT_VIABLE,DC; BASE_SHAPE; init(),,
dCCarpet,DCCarpetFunc.java,NOT_VIABLE,DC; init(),,
dCCarpet3D,DCCarpet3DFunc.java,NOT_VIABLE,3D,,
dCCracklePWF,DCCracklePWFFunc.java,NOT_VIABLE,DC/Color,,
dCCrackleWF,DCCrackleWFFunc.java,NOT_VIABLE,DC/Color,,
dCCube,DCCubeFunc.java,NOT_VIABLE,3D; DC; BASE_SHAPE,,
dCCylinder,DCCylinderFunc.java,NOT_VIABLE,3D; DC; BASE_SHAPE; init(),,
dCCylinder2,DCCylinder2Func.java,NOT_VIABLE,DC; BASE_SHAPE; init(),,
dCDModulus,DCDModulusFunc.java,NOT_VIABLE,DC; init(),,
dCGnarly,DCGnarlyFunc.java,NOT_VIABLE,DC; init(),,
dCHexesWF,DCHexesWFFunc.java,NOT_VIABLE,DC/Color,,
dCKaleidotile,DCKaleidotileFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dCLinear,DCLinearFunc.java,NOT_VIABLE,DC; init(),,
dCPerlin,DCPerlinFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dCTriTile,DCTriTileFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
