JWF Variation,JWF File,Status,Classification,Practical Params,Notes
superShape3D,SuperShape3DFunc.java,NOT_VIABLE,3D,,
svensson,SvenssonFunc.java,EXISTS,,,
swirl,SwirlFunc.java,EXISTS,,,
swirl3,Swirl3Func.java,EXISTS,,,
swirl3DWF,Swirl3DWFFunc.java,NOT_VIABLE,3D; DC/Color,,
symBandG1,SymBandG1Func.java,EXISTS,,,
symBandG2,SymBandG2Func.java,EXISTS,,,
symBandG3,SymBandG3Func.java,EXISTS,,,
symBandG4,SymBandG4Func.java,EXISTS,,,
symBandG5,SymBandG5Func.java,EXISTS,,,
symBandG6,SymBandG6Func.java,EXISTS,,,
symBandG7,SymBandG7Func.java,EXISTS,,,
symNetG1,SymNetG1Func.java,EXISTS,,,
symNetG10,SymNetG10Func.java,EXISTS,,,
symNetG11,SymNetG11Func.java,EXISTS,,,
symNetG12,SymNetG12Func.java,EXISTS,,,
symNetG13,SymNetG13Func.java,EXISTS,,,
symNetG14,SymNetG14Func.java,EXISTS,,,
symNetG15,SymNetG15Func.java,EXISTS,,,
symNetG16,SymNetG16Func.java,EXISTS,,,
symNetG17,SymNetG17Func.java,EXISTS,,,
symNetG2,SymNetG2Func.java,EXISTS,,,
symNetG3,SymNetG3Func.java,EXISTS,,,
symNetG4,SymNetG4Func.java,EXISTS,,,
symNetG5,SymNetG5Func.java,EXISTS,,,
symNetG6,SymNetG6Func.java,EXISTS,,,
symNetG7,SymNetG7Func.java,EXISTS,,,
symNetG8,SymNetG8Func.java,EXISTS,,,
symNetG9,SymNetG9Func.java,EXISTS,,,
synth,SynthFunc.java,NOT_VIABLE,SIMULATION,,
tQMirror,TQMirrorFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(66),,
tan,TanFunc.java,VIABLE,VIABLE,0,
tan2_BS,Tan2_BSFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
tanCos,TanCosFunc.java,VIABLE,VIABLE,0,
tangent,TangentFunc.java,EXISTS,,,
tangent3D,Tangent3DFunc.java,NOT_VIABLE,3D,,
tanh,TanhFunc.java,EXISTS,,,
tanh2_BS,Tanh2_BSFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
tanhq,TanhqFunc.java,NOT_VIABLE,3D,,
tanq,TanqFunc.java,NOT_VIABLE,3D,,
taprats,TapratsFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
target,TargetFunc.java,EXISTS,,,
targetSp,TargetSpFunc.java,NOT_VIABLE,init(),,
taurus,TaurusFunc.java,NOT_VIABLE,3D,,
tessShape,TessShapeFunc.java,NOT_VIABLE,BASE_SHAPE,,
textWF,TextWFFunc.java,NOT_VIABLE,DC/Color,,
threePointIFS,ThreePointIFSFunc.java,VIABLE,VIABLE,0,
threeply,ThreeplyFunc.java,NOT_VIABLE,BASE_SHAPE,,
tileHlp,TileHlpFunc.java,VIABLE,VIABLE,3,
tile_Log,Tile_LogFunc.java,NOT_VIABLE,3D,,
tile_Reverse_,Tile_Reverse_Func.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
torus3D,Torus3DFunc.java,NOT_VIABLE,3D,,
trade,TradeFunc.java,EXISTS,,,
tree,TreeFunc.java,EXISTS,,,
triPrism3D,TriPrism3DFunc.java,NOT_VIABLE,3D,,
trianTruchet,TrianTruchetFunc.java,NOT_VIABLE,DC; SIMULATION; init(),,
triangle,TriangleFunc.java,NOT_VIABLE,3D; BASE_SHAPE,,
truchet,TruchetFunc.java,NOT_VIABLE,DC; SIMULATION; init(),,
truchet2,Truchet2Func.java,EXISTS,,,
truchetAE,TruchetAEFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
truchetFill,TruchetFillFunc.java,NOT_VIABLE,SIMULATION; init(),,
truchetFlow,TruchetFlowFunc.java,NOT_VIABLE,SIMULATION,,
truchetHexCrop,TruchetHexCropFunc.java,NOT_VIABLE,SIMULATION,,
truchetHexFill,TruchetHexFillFunc.java,NOT_VIABLE,SIMULATION,,
tunnel,TunnelFunc.java,EXISTS,,,
twintrian,TwintrianFunc.java,EXISTS,,,
twoFace,TwoFaceFunc.java,EXISTS,,,
unpolar,UnpolarFunc.java,EXISTS,,,
vibration2,Vibration2Func.java,NOT_VIABLE,TOO_MANY_PARAMS(78),,
vogel,VogelFunc.java,EXISTS,,,
voron,VoronFunc.java,NOT_VIABLE,SIMULATION,,
vortex,VortexFunc.java,NOT_VIABLE,init(),,
w,WFunc.java,NOT_VIABLE,DC/Color,,
wDisc,WDiscFunc.java,VIABLE,VIABLE,0,
waffle,WaffleFunc.java,EXISTS,,,
wallPaper,WallPaperFunc.java,EXISTS,,,
wangTiles,WangTilesFunc.java,NOT_VIABLE,DC; BASE_SHAPE; init(),,
waveBlurWF,WaveBlurWFFunc.java,NOT_VIABLE,DC/Color,,
waves,WavesFunc.java,EXISTS,,,
waves2,Waves2Func.java,EXISTS,,,
waves22,Waves22Func.java,NOT_VIABLE,TOO_MANY_PARAMS(24),,
waves23,Waves23Func.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
waves2B,Waves2BFunc.java,NOT_VIABLE,init(),,
waves2Radial,Waves2RadialFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(18),,
waves2WF,Waves2WFFunc.java,NOT_VIABLE,DC/Color,,
waves2_3D,Waves2_3DFunc.java,NOT_VIABLE,3D,,
waves3,Waves3Func.java,EXISTS,,,
waves3WF,Waves3WFFunc.java,NOT_VIABLE,DC/Color,,
waves4,Waves4Func.java,EXISTS,,,
waves42,Waves42Func.java,NOT_VIABLE,TOO_MANY_PARAMS(21),,
waves4WF,Waves4WFFunc.java,NOT_VIABLE,DC/Color,,
wedge,WedgeFunc.java,EXISTS,,,
wedgeJulia,WedgeJuliaFunc.java,EXISTS,,,
wedgeSph,WedgeSphFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
whirligig,WhirligigFunc.java,VIABLE,VIABLE,3,
whitneyUmbrella,WhitneyUmbrellaFunc.java,NOT_VIABLE,3D,,
whorl,WhorlFunc.java,EXISTS,,,
woggle,WoggleFunc.java,EXISTS,,,
x,XFunc.java,NOT_VIABLE,init(),,
xErf,XErfFunc.java,NOT_VIABLE,3D,,
xHeart,XHeartFunc.java,NOT_VIABLE,init(),,
xHeartBlurWF,XHeartBlurWFFunc.java,NOT_VIABLE,DC/Color,,
xTrb,XTrbFunc.java,NOT_VIABLE,init(),,
y,YFunc.java,NOT_VIABLE,init(),,
yinYang,YinYangFunc.java,EXISTS,,,
z,ZFunc.java,NOT_VIABLE,init(),,
zBlur,ZBlurFunc.java,NOT_VIABLE,BLUR; init(),,
zCone,ZConeFunc.java,VIABLE,VIABLE,0,
zScale,ZScaleFunc.java,VIABLE,VIABLE,0,
zSymmetry,ZSymmetryFunc.java,NOT_VIABLE,init(),,
zTranslate,ZTranslateFunc.java,VIABLE,VIABLE,0,
zTwister,ZTwisterFunc.java,VIABLE,VIABLE,6,
zVar,ZVarFunc.java,NOT_VIABLE,init(),,

SUMMARY,,EXISTS:243,NOT_VIABLE:543,VIABLE:90,Total:876
